start,end,text
17.31,21.40,Take one big bite of life to go
23.98,29.36,"Take an apple please, from the front row"
30.49,37.58,Oh soon enough never good enough
38.31,43.16,"Inch by inch come on, come on connect the dots"
44.78,49.56,"Yeah, keep keep keep me in your line of sight"
49.24,52.93,Squeeze squeeze squeeze me go on hold me tight
52.71,56.80,Close close close until you're kissable
56.27,61.00,Get get gets you in my heart's peripheral
66.78,71.47,"Toes in toes out, I'm on stand by"
73.42,78.73,Now we're testing out our wings for flight
80.98,87.16,There's no luck in letting it roll
87.71,92.78,"Choose lets choose, come on and let me know"
94.11,98.91,"Yeah, keep keep keep me in your line of sight"
98.47,102.40,Squeeze squeeze squeeze me go on hold me tight
102.02,105.98,Close close close until you're kissable
105.71,110.49,Get get gets you in my heart's peripheral
110.78,118.04,Right there almost gets you in my hearts peripheral
118.07,121.11,Right there almost got you
122.51,128.31,"Hey who, who's gonna call it now"
128.36,131.00,Gonna call it what it is
131.60,138.71,"We would be crazy to let this one go, oh I want to"
138.71,142.49,Turn to me and I'll take the floor I've
142.51,146.93,I've almost got you in my heart
146.93,152.02,In my heart's peripheral
155.87,161.02,In my heart's peripheral
164.69,169.53,"Yeah, keep keep keep me in your line of sight"
169.11,172.89,Squeeze squeeze squeeze me go on hold me tight
172.22,176.47,Close close close until you're kissable
176.29,181.20,Get get gets you in my heart's peripheral
180.00,183.60,Keep keep me in your line of sight
181.38,184.64,Right there almost gets you
184.64,188.38,In my heart's peripheral
187.56,190.71,Keep keep me in your line of sight
188.31,191.82,Right there almost got you
191.27,194.98,Gets you in my heart's peripheral
