start,end,text
2.07,7.64,She's the object of my fascination
8.47,14.44,"Back to school, socks in the corner after last night's pull"
14.62,19.09,Sure beats sums and multiplication
20.98,26.98,"Life begins, she's forty-something and I'm all in"
27.36,31.60,For the time of my life
33.47,39.71,"She's cool as ice, she'd more than make a man of me"
39.84,44.13,There's only one thing on my mind
44.38,46.29,That she'll be mine
46.36,50.00,She's the object of my fascination
50.00,52.56,And that's what's real to me
52.58,56.00,A red hot chick by classification
56.44,64.29,"But she's too blind to see in my car, she'd look just like a movie star"
64.29,68.60,"She's ten out of ten, a schoolboy fascination"
69.31,77.38,"(A schoolboy fascination) School bell rings, I got detention but I 've done no wrong"
78.11,82.38,I'm in love in my mind
84.27,90.22,"A beauty queen, she looks like the girls in the magazines"
90.53,95.11,I'm in love with her smile
96.80,102.53,"She's heaven sent, but I know she's not that innocent"
103.00,107.00,There's no better waste of time
107.60,109.47,I wish she was mine
109.49,115.71,She's the object of my fascination and that's what's real to me
115.73,122.02,"A red hot chick by classification, but she's too blind to see"
122.02,127.49,"In my car, she'd look just like a movie star"
127.53,135.00,"She's ten out of ten, a schoolboy fascination"
135.00,143.00,Schoolboy fascination (Schoolboy fascination)
143.36,150.00,"She's cool as ice she'd more than make a man of me (Cool, cool as ice)"
150.40,154.76,There's only one thing on my mind
154.93,156.76,That she'll be mine
156.78,163.13,"She's the object of my fascination, and that's what's real to me"
163.18,169.73,"A red hot chick by classification, but she's too blind to see"
169.73,175.00,In my car she'd look just like a movie star
175.00,180.22,"She's ten out of ten, a schoolboy fascination"
178.96,185.33,"She's the object of my fascination, and that's what's real to me"
185.11,191.62,"A red hot chick by classification, but she's too blind to see"
191.62,197.09,In my car she'd look just like a movie star
196.82,200.00,She's ten out of ten a schoolboy fascination
