start,end,text
16.80,21.78,"I know the season's ripe for change, it's changing all around"
21.78,26.67,"I know the reasons you've arranged, they're tearing me down"
26.67,29.67,Where is the peacefulness of mind?
31.71,34.40,Where will my heart come back to life?
36.18,37.76,I'm alright
38.11,41.24,As I pick up the pieces that I've left of me
41.24,42.73,I'm alright
43.71,45.62,Being away from you
46.49,48.40,And I'll be fine
48.69,49.89,Cleaning up the corner
49.89,51.56,Putting back in order
51.56,54.56,But know I will always have this too
54.84,56.62,A little piece of you
66.80,69.40,How could we let this slip away?
69.60,71.62,Slipping through my hands
71.62,74.20,How can the darkness blind the day?
74.78,76.62,Bring back the light
76.62,79.62,Where is the pleasure in the pain?
81.67,84.53,Where is my shelter in the rain?
85.20,88.07,Well I'm alright
88.07,91.20,As I pick up the pieces that I've left of me
91.20,93.20,I'm alright
93.58,95.78,Being away from you
96.51,98.40,And I'll be fine
98.67,99.98,Cleaning out the corner
99.98,101.38,Put it back in order
101.38,104.67,But know I will always have this too
105.07,106.69,A little piece of you
116.64,119.00,Help me dry all my tears and
119.00,121.42,Help me allay all my fears and
121.42,124.09,Help me I think I am fallin'
124.09,126.20,Does anybody hear me callin'?
126.60,128.93,Help me dry all my tears
128.93,131.47,Help me allay all my fears and
131.47,134.20,Help me I think I am fallin'
134.20,136.82,Does anybody hear me callin'?
136.18,137.84,I'm alright
138.38,141.20,As I pick up the pieces that I've left of me
141.20,142.84,I'm alright
143.67,145.69,Being away from you
146.44,148.40,And I'll be fine
148.69,149.93,Cleaning up the corner
149.93,151.53,Put it back in order
151.53,156.09,"I know I will always have this too, oh yeah"
156.09,157.87,I'm alright
158.36,161.27,As I pick up the pieces that I've left of me
161.27,162.80,I'm alright
163.60,166.67,"Being away from you, and"
166.67,168.56,I'll be fine
168.56,169.98,Cleaning up the corner
169.98,171.20,Putting back in order
171.53,174.62,But know I will always have this too
175.02,176.53,A little piece of you
