start,end,text
21.20,25.42,No diamond sparkles in slumbered hands
26.76,28.84,Deserving arms adore
29.76,33.73,Oh mister wallflowers who loves to dance
34.93,36.82,Is wary of the floor
37.64,39.73,I'm slowing down
39.73,41.69,Let's talk about you
41.69,45.51,"Can't spot the wood from the trees, in overtime"
45.33,51.56,(Talk it out tonight) We'll talk about it all tonight
58.71,62.51,A wayward thought locked this heart in flame
63.93,66.07,To burn another way
66.98,70.89,"Where winds wield wildly here, water tames"
72.18,74.58,And night becomes the day
74.93,77.00,I'm slowing down
77.00,78.89,Let's talk about you
78.89,82.67,"Can't spot the wood from the trees, in overtime"
82.71,89.20,(Talk it out tonight) We'll talk about it all tonight
105.51,109.47,<nl> Ah-ah-ah-ah ah-ah-ah-ah <nl>
109.47,115.96,<nl> Ah-ah-ah-ah ah-ah-ah-ah <nl>
116.20,120.47,"Bell rings and he's home, there's shards on the floor"
120.47,124.44,"Standing there all alone, bloodied feet at the door"
124.62,128.60,"Head hung, his eyes stained with thoughts of before"
128.60,132.71,"Downcast by the rain, the shame that he wore"
132.89,136.98,"Come in and get warm, said friend to his foe"
136.98,141.18,"Not a great time of year, not a great time to go"
141.18,145.33,"Put yourself by the fire, like ducks in a row"
145.33,148.20,I'm sure you are tired
148.80,155.22,(Talk it out tonight) We'll talk about it all tonight
157.16,163.53,(Talk it out tonight) Talk about it all tonight
165.38,171.84,(Talk it out tonight) Talk about it all tonight
173.69,180.13,(Talk it out tonight) Talk about it all tonight
181.87,188.20,<nl> (Ba ba-ba-ba ba-ba-ba-ba) </nl> Talk it out tonight
188.20,190.33,<nl> Ba-ba-ba ba-ba-ba </nl>
190.33,196.78,<nl> (Ba-ba ba-ba-ba ba-ba-ba-ba) </nl> Talk it out tonight
196.78,198.73,<nl> Ba-ba ba-ba-ba </nl>
