start,end,text
23.15,27.00,Took you out again on friday (Yeah)
27.00,29.95,Though In felt you didn't wanna ( <nl> uh-huh  <nl> )
31.00,34.74,Must have rubbed you up the wrong way ( <nl> woah-oh </nl> )
37.00,44.72,And it's something that's a matter of fact but I break the bank for you
44.72,49.78,So when my material girl's grumpy (Yeah)
49.78,53.00,I'll buy her bling with my last dollar ( <nl> mm-hmm </nl> )
53.00,58.08,(Now or never) tripping on this sheen off of you
57.09,61.95,(Now or never) picturing this dream coming true
60.93,69.14,(Now or never) pulling at the seams cause it seems to me that you and me now could be nothing but a stitch up baby
71.62,73.52,Turn around
73.52,75.47,Make a sound
75.47,78.78,Understand just what this means to me
79.34,81.07,Turn around
81.30,83.95,Hit the ground
83.60,86.95,Understand this ain't the way it's supposed to be
101.55,104.46,So I followed you on Sunday
105.71,109.00,Though I wasn't sure I ought to ( <nl> uh-huh </nl> )
109.00,113.30,Saw you two kissing on the causeway ( <nl> woah </nl> )
113.30,116.58,Wanted to push you in the water (Yeah)
116.58,121.49,(Now or never) tripping on this sheen off of you
120.43,125.30,(Now or never) picturing this dream coming true
124.27,132.58,(Now or never) pulling at the seams cause it seems to me that you and me now could be nothing but a stitch up baby
134.96,136.85,Turn around
136.85,138.78,Make a sound
138.98,142.18,Understand just what this means to me
142.70,144.48,Turn around
144.67,147.30,Hit the ground
146.94,150.42,Understand this ain't the way it's supposed to be
151.34,154.48,Tripping on this sheen off of you
155.25,158.35,Picturing this dream coming true
159.04,164.51,Pulling at the seams cause it seems to me that you and me now could be nothing but a stitch up
164.51,170.00,(Now or never) Weak enough to through this away
168.34,174.49,(Now or never) Brave enough to say that it's now or never
174.49,181.00,Pulling at the seams cause it seems to me that you and me now could be nothing but a stitch up baby
181.00,182.83,Turn around
183.09,184.86,Make a sound
185.26,188.31,Understand just what this means to me
188.77,190.54,Turn around
190.80,193.34,Hit the ground
193.00,199.14,"Understand this ain't the way it's supposed to be, yeah"
195.09,200.34,"Stitch up, stitch up, <nl> woah, </nl> stich up"
200.94,203.77,"Stitch up, stitch up, <nl> woah, </nl> stitch up"
204.74,205.97,Stitch up
