start,end,text
1.80,5.20,I miss you so much boy
6.06,9.80,I don't know what I would do with myself
10.71,13.09,If you are gone
16.34,19.60,Far away from home
20.40,23.69,I don't know how many times I've fallen
25.03,28.94,And honestly I lost count long ago
29.74,34.40,But you have always been there to pull me back up on my feet
34.40,38.57,Oh I can't dare stop lord
38.89,46.20,On my lips is nothing but the sweet and truthful faith in our love
46.20,50.20,I know that you can save me I know
50.86,55.26,I know that you can find me when I'm lost
55.26,57.60,When I'm lost
58.20,61.34,I miss you so badly
62.51,66.34,I don't know if I'm even thinking straight
67.20,70.20,I'm feeling numb
71.89,76.20,Oh I can taste your love
76.66,83.91,On my skin is nothing but the sweet and dying faith in our love
83.91,87.49,I know that you can save me I know
88.71,92.91,I know that you can heal me when I'm lost
92.91,95.20,When I'm lost
95.20,101.20,<nl> (Oh-oh-oh-oh) </nl> I know I've let you down before and that I've hurt you bad
101.20,106.06,I know that sorry will not cut it but I can swear I'll try
105.20,118.03,<nl> (Oh-oh-oh-oh) </nl> To tear the world apart if that's a way to find you and a place for us to fall back down <nl> (Oh-oh-oh-oh) </nl>
118.43,122.46,A place for us to fall asleep in sound <nl> (Oh-oh-oh) </nl>
123.20,128.09,I'll take the world apart <nl> (Oh-oh-oh-oh-oh-oh) </nl>
128.09,133.09,Without a change of heart <nl> (Oh-oh-oh) </nl>
151.80,155.46,<nl> Oh-oh-oh-oh </nl>
156.46,159.69,<nl> Oh-oh-oh </nl>
161.43,165.89,<nl> Oh-oh-oh-oh </nl>
166.14,169.77,<nl> Oh-oh-oh </nl>
170.20,177.20,<nl> (Oh-oh-oh-oh) </nl> I know I've let you down before and that I've hurt you bad
175.49,181.20,<nl> (Oh-oh-oh) </nl> I know that sorry will not cut it but I can swear I'll try
180.17,193.69,<nl> (Oh-oh-oh-oh) </nl> To tear the world apart if that's the way to find you and the place for us to fall back down <nl> (Oh-oh-oh-oh) </nl>
193.69,198.20,<nl> (Oh-oh-oh) </nl> A place for us to fall asleep in sound
198.20,203.20,<nl> (Oh-oh-oh-oh-oh-oh) </nl> I'll take the world apart
203.20,208.46,<nl> (Oh-oh-oh) </nl> Without a change of heart
208.46,213.03,<nl> Oh-oh-oh-oh-oh-oh </nl>
213.03,216.83,<nl> Oh-oh-oh </nl>
217.80,222.43,<nl> Oh-oh-oh-oh-oh-oh </nl>
222.43,226.26,<nl> Oh-oh-oh </nl>
