start,end,text
32.73,36.63,You know you're not at all to blame
37.83,41.30,I was the one that played your game
42.00,48.15,Cause it was so easy to make me believe you're worth my time
51.85,55.58,Don't call me babe cause I'm gone
56.67,60.60,You can make right what you did wrong
60.73,67.20,And if it's that easy just get up and leave the way you do
69.93,73.95,And all this time
74.00,76.67,Wasted on you
76.67,79.13,I'll start anew
79.33,83.47,It blows my mind
83.47,86.13,To think I do
86.13,89.00,Those things for you
89.07,93.40,But this time
93.40,100.00,It's easy to leave when it's you that I leave behind
108.27,112.27,There's really not that much to say
113.40,117.15,I'm just glad to be out on my way
117.15,124.00,Cause you were consuming me like I couldn't do better than you
127.10,131.00,I'm gonna watch you disappear
132.06,136.03,The blur that I once felt is so clear
136.08,142.28,Cause it's just that easy to get up and leave because it's you
145.38,149.38,And all this time
149.38,151.85,Wasted on you
151.85,154.43,I'll start anew
154.65,158.73,It blows my mind
158.73,161.23,To think I do
161.23,164.05,Those things for you
164.40,168.00,But this time
168.50,178.00,So I kept hoping you'd open your arms
178.00,187.40,The truth is you're nothing you only caused harm
187.45,190.03,And it's your fault
192.55,196.43,And all this time
196.43,198.93,Wasted on you
199.05,201.50,I'll start anew
201.85,205.95,It blows my mind to think I do
205.95,208.35,To think I do
208.35,211.45,Those things for you
211.45,216.10,But this time
216.10,219.13,It's easy to leave
220.63,224.55,And all this time
224.55,227.08,Wasted on you
227.15,229.80,I'll start anew
230.03,234.00,It blows my mind
234.00,236.50,To think I do those things for you but this
236.50,239.73,Those things for you
239.75,244.45,But this time it's easy to leave
244.45,247.90,It's easy to leave
