start,end,text
38.00,45.00,"Just give in, there's no getting away from me"
45.00,50.00,Such a perfect night
50.00,55.00,Silent to my lies
55.00,62.00,Take my head there's nothing you can say to me
62.00,67.00,When you hear my voice
67.00,72.45,Then you have no choice
72.45,76.90,"I'd cross my heart, I tell no lies"
76.90,81.15,I see your future in my eyes
81.15,85.30,I promise you a love so deep
85.30,89.65,You'll hear me calling in your sleep
89.65,93.85,Who needs to breathe the air above?
93.85,98.00,When we're both drowning in my love
98.00,102.30,"The tides have turned, don't be afraid"
102.30,106.85,You're not the only soul I've saved
106.00,110.48,"Come to me, come to me"
110.25,114.60,Help me to love you
114.60,118.96,"Come to me, come to me"
118.80,123.00,Help me to love you
123.00,127.48,"Come to me, come to me"
127.28,131.60,Help me to love you
131.60,135.96,"Come to me, come to me"
135.78,140.68,Help me to love you
140.88,146.26,"Close your eyes, the tide'll bring you here with me"
147.78,151.42,We can be so calm
152.12,156.02,Sink into my arms
157.74,163.40,"Hold on tight, you only wanna be with me"
165.02,168.40,On a broken shore
168.94,174.44,Now and ever more
174.46,178.88,"I'd cross my heart, I tell no lies"
178.88,183.06,I see your future in my eyes
183.00,187.00,I promise you a love so deep
187.28,191.46,You'll hear me calling in your sleep
191.50,195.78,Who needs to breathe the air above?
195.78,200.06,When we're both drowning in my love
200.12,204.28,"The tides have turned, don't be afraid"
204.28,208.80,You're not the only soul I've saved
207.96,212.46,"Come to me, come to me"
212.22,216.56,Help me to love you
216.56,220.98,"Come to me, come to"
220.62,225.04,Help me to love you
225.02,229.40,"Come to me, come to me"
229.16,233.56,Help me to love you
233.56,237.96,"Come to me, come to me"
237.68,242.40,Help me to love you
244.04,245.32,Come to me
250.46,254.98,"Come to me, come to me, come to me"
257.98,261.10,"Come to me, come to me, come to me"
267.88,269.38,Come to me
275.98,279.26,"Come to me, come to me, come to me"
284.48,285.72,Come to me
290.84,292.22,Come to me
295.10,299.54,"Come to me, come to me"
299.24,303.76,Help me to love you
303.76,308.04,"Come to me, come to me"
307.76,312.12,Help me to love you
312.12,316.50,"Come to me, come to me"
316.24,320.00,Help me to love you
320.00,325.00,"Come to me, come to me"
324.72,330.00,Help me to love you
