start,end,text
55.20,57.28,And you watch me now
58.68,64.30,And your eyes do shine so bright by your emotion
70.36,72.78,When you hold me now
74.30,80.00,I feel your heartbeat filled with devotion
87.62,90.72,You're standing by my side
90.80,94.76,Together we enjoy the night
97.00,99.00,I will follow you
99.52,102.44,Into the shining light
102.96,106.12,You're standing by my side
106.66,109.96,Hand in hand we watch the light
112.44,114.20,When we feel alright
116.26,117.24,Alright
131.90,134.25,When you hold my hand
135.53,141.30,I do not feel any fear while you disappear
147.13,149.80,And you start to sing
150.83,152.73,Feel the energy
152.73,156.80,I am not afraid of anything
158.95,160.60,Of anything
164.45,167.60,You're standing by my side
167.60,171.50,Together we enjoy the night
173.78,175.83,I will follow you
176.28,179.28,Into the shining light
179.85,182.98,You're standing by my side
183.33,186.75,Hand in hand we watch the light
189.23,191.08,And we feel alright
193.08,194.03,Alright
196.95,197.93,Alright
210.60,213.58,You're standing by my side
214.20,217.48,Hand in hand we watch the light
219.95,221.83,And we feel alright alright
223.83,224.78,Alright
228.10,229.23,Alright
231.33,233.03,We feel alright
