start,end,text
20.58,23.25,"I will, I will shed a tear"
23.25,24.58,But not for you
24.58,26.30,I will live in fear
25.98,28.17,For the people I hold dear
28.17,31.55,I hope they never see my hate
31.77,34.82,"You, you make me sick"
36.11,40.02,"You, you make me sick"
44.63,50.91,"Now you, you live under a rock"
51.02,53.60,And who's gonna be there
53.60,55.20,To dig you out?
55.22,56.71,Not me
65.36,70.58,I'll be satisfied knowing that I tried
70.62,73.09,This is for all the times
73.09,75.60,That you fucking lied
75.60,77.11,No more chances
77.11,78.42,You've crossed the line
78.42,80.09,One too many times
79.91,81.13,Look at you
81.13,82.89,Hang your head in shame
82.64,84.51,Was this a a game?
84.51,87.49,"You, you make me sick"
88.80,91.07,Whatever made you think we share
91.07,93.07,The same ill fate?
93.20,96.27,"You, you make me sick"
97.55,99.86,Whatever made you think we share
99.86,103.44,The same ill fate?
113.64,116.33,You fall deeper and deeper
116.44,118.89,Each step takes you closer to death
118.69,120.33,I'll be satisfied
120.40,123.24,Knowing that I tried
