start,end,text
24.14,25.36,Are we moving
27.96,31.36,Where the sun will always shine
31.78,32.98,Up and over
35.62,38.68,Where we first felt art divine
39.42,40.52,Moving forward
43.36,46.38,"Pick a road, follow the sign"
47.02,48.46,Heading upward
50.98,56.08,To the sound afar I don't recognize
56.37,57.80,The warning sign
57.57,60.23,You never see you never see
60.23,64.10,"No matter how the future will be, future will be"
64.11,68.31,"We're heading back to where we come from, where we come from"
68.31,69.59,We're the open
70.19,71.67,The outspoken
71.92,73.92,English actors
81.69,82.92,To the catcher
85.63,88.81,I'm the catcher in the rye
89.28,90.84,Ode to Salinger
93.31,96.58,That the man not even try
96.58,98.55,To recognize
98.55,99.88,The heart inside
99.79,102.46,"You never see, you never see"
102.46,106.28,"No matter how the future will be, future will be"
106.28,110.49,"We're heading back to where we come from, where we come from"
110.51,111.88,We're the open
112.44,113.95,Ill-spoken
114.15,116.13,English actors
147.70,150.45,"You never see, you never see"
150.45,154.30,"No matter how the future will be, future will be"
154.30,158.51,"We're heading back to where we come from, where we come from"
158.52,159.86,We're the open
160.49,162.22,The ill-spoken
162.84,165.76,"You never see, you never see"
165.76,169.69,"No matter how the future will be, future will be"
169.69,173.45,"We're heading back to where we come from, where we come from"
173.45,175.47,We're the open
175.84,177.32,The outspoken
177.76,180.18,English actors
