start,end,text
15.76,19.49,"Lights off, getting lost, moving with the ticking clock"
19.49,23.05,"All night, bright-eyed, so we can say that we tried"
23.08,28.63,"This fights show blast, they say we can't I think we might let them all down"
30.04,33.76,We're on a fast track away from reality
33.76,37.20,Everything's blurry like it's meant to be
37.20,41.16,We're on a fast track away from reality
44.24,47.92,We're on a fast track away from reality
47.92,51.20,Everything's blurry like it's meant to be
51.20,55.11,We're on a fast track away from reality
55.11,59.07,"If we could stay here, why just stay with me"
62.04,65.72,We're all the young ones don't throw it away
65.72,69.09,Do what you want to like it's your last day
69.09,72.36,"You've so much to live for, who cares what they say"
72.36,76.07,It's a bright shiny world and it's all yours to take
75.76,80.20,Don't regret the past make it last
81.93,84.13,And it's a black out
85.03,87.47,That feels so right
88.91,94.12,No turning back now if you want to take it then take it tonight
96.08,98.23,And it's a black out
99.19,101.56,That feels so right
103.04,108.33,No turning back now if life's what you make it then make it feel right
108.56,112.43,(Oh-ah-ah-oh) we're falling we're falling through
112.17,115.92,(Oh-ah-ah-oh-oh) we've nothing nothing to prove
115.77,122.71,This is the first time I felt so I felt so like nothing could stop us like they'd never catch us
122.71,126.56,(Oh-ah-ah-oh-oh) we're falling we're falling through
126.29,129.96,(Oh-ah-ah-oh) we've nothing nothing to prove
129.96,138.67,"The first time I felt so I felt so like nothing could stop us, let them try to catch try to to catch heart beats"
139.20,142.47,One big daydream
142.47,146.28,Sky for a ceiling
147.20,153.20,Breathe breathe let it be breathe and take in everything heartbeats
153.20,156.64,One big day dream
156.64,159.64,Sky for a ceiling
161.39,166.43,"Breathe breathe let it be, breathe and take in every little thing"
172.31,176.15,(It's all) it's all yours to take
178.20,183.04,(It's all)  it's all yours to take
183.04,186.48,We're all the young ones don't throw it away
186.48,189.77,Do what you want to like it's your last day
189.49,193.47,Cause you've so much to live for who cares what they say
193.23,197.20,It's a bright shiny world and it's all yours to take
197.20,201.52,We're all the young ones don't throw it away
243.43,245.36,Heartbeats
245.77,248.69,One big daydream
249.16,252.12,Sky for a ceiling
254.01,256.32,Let them all down
