start,end,text
9.69,12.19,Whenever you decide to run from me (You run)
12.19,14.32,Make sure you far gone (You gone)
14.32,16.52,Just know you ain't gonna take none for me (Take none)
16.52,18.79,Cause I'm good on my own (My own)
18.79,20.95,Cause all them things you didn't done to me (You done)
20.95,23.20,Have only made me strong (Me strong)
23.20,25.37,This life they gave just one for me (Just one)
25.37,28.20,"So I'm gon' live it long, my own (Long)"
28.35,29.91,On my own (My own)
29.91,32.61,So I'm gon' live it long my own (Long)
32.73,34.29,On my own (My own)
34.20,37.12,"So I'm gon' live it long, my own (Long)"
37.12,38.78,On my own (My own)
38.61,40.30,So I'm gon' live it long
40.20,42.43,I thought we was fit for business
42.43,44.59,What's hot with you blowin' kisses
44.59,46.74,It's not what it really seems
46.81,49.13,The truth is not in these bitches
49.20,51.35,You find yourself building bridges it's crazy the way we
51.35,53.54,They fall just like heydy hit 'em
53.54,55.83,You feel like a heydy victim
55.83,57.91,It's crazy the way we give in
57.91,59.72,I know the time and the time is now  told that girl
59.72,61.81,There was time for me and her but that time ran out
61.81,64.15,Remember all the times that I ran my mouth
64.15,66.38,"I'm going to make it and she laughed, like how?"
66.38,68.60,Then I really started to figure it out
68.60,71.25,Really thought I was living now I'm living without her
71.25,73.56,Now I feel like the greatest on the earth
73.56,76.20,"And I knew the end was coming, Mayan calendar"
76.30,78.80,Whenever you decide to run from me (You run)
78.80,80.93,Make sure you far gone (You gone)
80.93,83.13,Just know you ain't gonna take none for me (Take none)
83.13,85.40,Cause I'm good on my own (My own)
85.40,87.56,Cause all them things you didn't done to me (You done)
87.56,89.90,Have only made me strong (Me strong)
89.90,91.98,This life they gave just one for me (Just one)
91.98,94.81,"So I'm gon' live it long, my own (Long)"
94.96,96.52,On my own (My own)
96.42,99.22,"So I'm gon' live it long, my own (Long)"
99.34,100.90,On my own (My own)
100.90,103.73,"So I gon' live it long, my own (Long)"
103.73,105.39,On my own (My own)
105.22,106.91,So I'm gon' live it long
106.60,108.63,"Me and you girl, coulda been the perfect fit"
108.63,110.81,"But you had to do your best, put on and flip a trick"
110.81,113.00,"Now it's on to the next one, just another hit"
113.00,115.45,I'ma never get enough so you know I never quit
115.45,117.48,Trying to bring me down but I climb to the top
117.48,119.71,Had my head all in the mix and now it feels severed off
119.71,122.09,I'ma break through these binds just to make it on my own
122.09,124.33,"Show you what I'm on, every night to the morn"
124.33,126.55,We had it on lock girl it's such a tragedy
126.55,128.87,We hit it off hard it turned to a catastrophe
128.87,130.94,Watch you walk off just to claim another casualty
130.94,133.21,I knocked the dirt off while I'm moving on casually
133.21,135.24,What doesn't take me out only makes me stronger
135.24,137.77,"Face it piece by piece, till it's art like the Mona yeah"
137.77,139.72,You might have took a chip up off my shoulder
139.72,142.45,But I promise I'ma keep on going till it's over 'cause
143.09,145.59,Whenever you decide to run from me (You run)
145.59,147.72,Make sure you far gone (You gone)
147.72,149.92,Just know you ain't gonna take none for me (Take none)
149.92,152.19,Cause I'm good on my own (My own)
152.19,154.35,Cause all them things you didn't done to me (You done)
154.35,156.60,Have only made me strong (Me strong)
156.60,158.77,This life they gave just one for me (Just one)
158.77,161.60,"So I'm gon' live it long, my own (Long)"
161.75,163.31,On my own (My own)
163.31,166.01,So I'm gon' live it long my own (Long)
166.13,167.69,On my own (My own)
167.60,170.52,"So I'm gon' live it long, my own (Long)"
170.52,172.18,On my own (My own)
172.01,173.59,So I'm gon' live it long
173.14,175.37,"I'm good on my own, I don't need you"
175.37,177.48,You think you got me down but this what I'ma do
177.48,180.93,"I'ma show how a real man do it when he move on, kick it like a villain"
184.20,186.36,You took me straight down went  wrong like a sin
186.36,188.67,But I had a rebound cause I'm going for the win
188.67,190.87,And I'ma live it up let the party begin
190.68,193.20,"It's a celebration now, damn right, fuck the past"
193.20,195.35,The show will never last that won't  be a punching bag
195.35,197.65,"I know what it's worth in the ring, enough cash"
197.65,199.77,To make me reconsider being free at last
199.77,202.04,So hey how you doing to the opposite sex
202.04,204.30,I know what you need and you gotta get next
204.30,206.49,A new night with me and you're not a bit stressed
206.49,209.20,"But makes you see like the view from a jet, that"
209.69,212.19,Whenever you decide to run from me (You run)
212.19,214.32,Make sure you far gone (You gone)
214.32,216.52,Just know you ain't gonna take none for me (Take none)
216.52,218.79,Cause I'm good on my own (My own)
218.79,220.95,Cause all them things you didn't done to me (You done)
220.95,223.20,Have only made me strong (Me strong)
223.20,225.37,This life they gave just one for me (Just one)
225.37,228.20,"So I'm gon' live it long, my own (Long)"
228.35,229.91,On my own (My own)
229.91,232.61,So I'm gon' live it long  my own (Long)
232.73,234.29,On my own (My own)
234.20,237.12,"So I'm gon' live it long, my own (Long)"
237.12,238.78,On my own (My own)
238.61,240.30,So I'm gon' live it long
240.79,243.29,Whenever you decide to run from me (You run)
243.29,245.42,Make sure you far gone (You gone)
245.42,247.62,Just know you ain't gonna take none for me (Take none)
247.62,249.89,Cause I'm good on my own (My own)
249.89,252.05,Cause all them things you didn't done to me (You done)
252.05,254.30,Have only made me strong (Me strong)
254.30,256.47,This life they gave just one for me (Just one)
256.47,259.30,"So I'm gon' live it long, my own (Long)"
259.45,261.01,On my own (My own)
261.01,263.71,So I'm gon' live it long  my own (Long)
263.83,265.39,On my own (My own)
265.30,268.22,"So I'm gon' live it long, my own (Long)"
268.22,269.88,On my own (My own)
269.71,271.40,So I'm gon' live it long
