start,end,text
14.63,17.75,Float like a butterfly sting like a bee
17.75,20.54,I float like a butterfly sting like a bee
20.54,23.55,Float like a butterfly sting like a bee
23.58,27.01,I float like a butterfly sting like a bee
25.46,28.20,They tryna to knock me out
28.20,31.66,My back's against the ropes and I ain't losing hope
31.66,34.11,No not going down for the count
34.20,38.25,You can give me all you've got but I ain't gonna stop at all
38.25,44.08,You can throw your hooks your jabs it will take more than that to knock me off my hustle
44.20,47.21,I ain't giving up this belt so easy
47.21,52.01,You'll be giving up before you see me knocked out
49.20,51.65,Always been quick give off the pump
51.63,53.83,Light a fire proceed to get my skunk on
53.83,57.36,Niggas be quick to hate because they need a dick to jump on
57.37,59.81,I'm in my zone banging molly all alone
59.81,63.50,While bitches see me with ash trying to get me out my home and I
63.53,66.40,Got a problem cause lately I try to overspend
66.40,69.21,To block out all the bullshit I put no focus in
69.21,72.09,Call bobby because philly's spitting that dope again
72.11,75.12,I got my back against the rope trying to rope them in
75.20,80.82,"Like oh my I'm the coldest in charge, it's easy for them to hate when you be going this hard a"
80.82,83.84,It's funny I tell them all you can meet me in hell itching
83.84,87.17,"And get you on the phone and stop talking like  Mel Gibson, knock"
87.20,89.75,Knock me out I think that's rare in my sport
89.75,92.79,"You'se a gangster that's just trying to whip his hair back and forth,"
92.79,95.63,I think it's time for you to pick again
95.63,99.23,"Tryna hit you with that knockout glow, phoney nick name"
97.52,100.26,They tryna to knock me out
100.26,103.72,"My back's against the ropes and I ain't losing hope, no"
103.72,106.17,Not going down for the count
106.26,110.31,You can give me all you've got but I ain't gonna stop at all
110.31,116.14,You can throw your hooks your jabs it will take more than that to knock me off my hustle
116.26,119.27,I ain't giving up this belt so easy
119.27,124.07,You'll be giving up before you see me knocked out
122.20,124.20,Ok I guess it's crunch time
124.20,127.25,The way I eat this bitch you probably think it's lunch time
127.25,130.24,Soon as I spit I bet you wonder why he's unsigned
130.24,133.19,The whole of the rap scene see how I throw these punchlines
133.20,136.87,But while you biting like tyson I'm still holding the crown
136.87,140.06,Plus I'm raping the game that's why I'm still holding it down
140.06,142.85,And you can't hold me back like your arm's gone
143.20,145.92,Getting on the track like I'm Armstrong
146.16,149.07,Up with this new shit so I can keep my fans up
149.07,152.26,That's why I hold the belt like I'm tryna keep my pants up
152.20,154.88,Hands up never drop your gun when I'm around
154.88,157.83,I'm the champ you a rookie and won't even last a round
157.83,161.22,"See me knocking down this game with the punches and these hooks, bruh"
161.20,163.87,Tekken-like I hit you with some punches and some hooks yeah
163.87,167.07,"You know I never quit, never been a  towel thrower"
167.07,170.25,So you can stop the Russian like Rocky Balboa
169.56,172.30,They tryna to knock me out
172.30,175.76,My back's against the ropes and I ain't losing hope no
175.76,178.21,Not going down for the count
178.30,182.35,You can give me all you've got but I ain't gonna stop at all
182.35,188.18,You can throw your hooks your jabs it will take more than that to knock me off my hustle
188.30,191.31,I ain't giving up this belt so easy
191.31,196.11,You'll be giving up before you see me knocked out
194.20,197.62,One two one two ain't no telling what I'll do
197.62,200.64,When you step right up to me remember I don't like to loose
200.64,203.81,Hear me fear me ain't no standing toe to toe
203.81,206.59,The outcome's looking grim for you I sure hope that you know
206.61,209.82,Know you see I came from nothing watch me turn to something
209.82,214.31,"Can't you feel the heat like the rain wasn't enough, enough"
213.19,216.38,"The stakes are high for me, there ain't no stopping me"
216.20,220.20,Watch me float like a butterfly and sting like a bee
217.57,220.20,They tryna  knock me out
220.20,223.89,"My back's against the ropes and I ain't losing hope, no (My back's against the ropes)"
223.89,229.56,"Not going down for the count (No, no, no no)"
226.07,230.20,You can give me all you've got but I ain't gonna stop at all
230.20,237.51,You can throw your hooks it jabs it will take more than that to knock me off my hustle (To knock me off my hustle)
236.21,240.41,I ain't giving up this belt so easy (You'll be giving up)
239.27,245.91,Before you see me knocked out (Knocked out)
