start,end,text
19.03,24.67,I tried for you
26.20,35.20,I failed to do
36.36,42.60,Can't keep it warm no more
45.08,51.24,Can't keep the sand on the shore
54.84,59.88,<nl> (Oh-oh-oh) </nl> We're never getting home
63.52,68.72,<nl> (Oh-oh-oh) </nl> The stormy seas never take that toll
72.20,76.92,<nl> (Oh-oh-oh) </nl> Let's go let's beat the tide
76.92,80.96,<nl> (Oh-oh-oh-oh) </nl>
80.96,86.30,<nl> (Oh-oh-oh) </nl> We' ll reach the shore on the other side
97.64,103.40,I close my eyes
106.20,111.92,And focus my mind
114.68,121.28,As memories come undone
123.60,129.88,We chase them all till we're young
133.40,138.20,<nl> (Oh-oh-oh) </nl> We're never getting home
142.20,147.40,<nl> (Oh-oh-oh) </nl> The stormy seas only take that all
150.88,155.36,<nl> (Oh-oh-oh) </nl> Let's go let's beat the tide
155.36,159.56,<nl> (Oh-oh-oh-oh) </nl>
159.56,166.20,<nl> (Oh-oh-oh) </nl> We'll reach the shore on the other side
203.24,206.48,<nl> Woah-oh-oh </nl>
207.52,211.76,<nl> (Oh-oh-oh-oh) </nl>
215.92,219.52,We'll reach the shore on the other side
