start,end,text
17.80,24.70,I saw you staring at me
25.20,31.00,And I knew you didn't care
33.90,41.57,Your smile told me I was one night
41.57,47.20,I should have never showed up there
47.50,60.53,Now I pray for the rain to wash it away (Wash it all away)
56.27,62.20,Cause I know in my heart
62.20,66.20,You won't be there
82.53,89.93,Babe you're gonna get what's coming your way
90.50,95.83,And then you'll know and feel my pain
98.70,106.53,All the honesty and hope that you just threw away
106.53,112.20,You are so vain
112.67,121.20,Now I pray for the rain to wash it away (Pray for the rain)
118.53,125.50,To wash it away (Wash it all away)
121.20,133.33,Cause I know in my heart (My heart)
127.20,133.76,You won't be there and I won't (Wait)
130.63,138.88,Wait for the day (For the day)
134.97,143.16,To hear you say (You say)
137.70,147.32,That you're sorry from the heart (Heart)
143.16,150.36,You weren't playing fair
184.88,188.08,Now the time has come
188.08,192.36,And you want more than you've shown
192.68,196.68,There's no one waiting
196.68,200.76,Your empty past is known
200.76,204.44,There's nothing left
204.96,209.20,Regret it hits real hard
209.20,213.92,You've pulled this all upon yourself you can't erase it
213.92,217.80,You can't erase it
219.24,227.68,So you pray for the rain (For the rain)
225.20,234.20,To wash it away (Wash it all away)
227.95,238.92,Cause you know in your heart (Your heart)
234.20,245.48,It's still in there (Your heart)
236.44,245.20,So you wait for the day (For the day)
241.52,248.70,For someone to stay (Someone to stay)
245.68,254.14,And love you (Love you)
250.78,254.60,But no one cares
