start,end,text
10.20,12.60,What you gonna do that for
13.97,16.51,I thought I told you not to
18.29,20.60,Now I'm gonna have to clean my teeth
22.15,24.92,I'm not that sort of girl
34.17,36.40,Now I'm gonna have to clean my teeth
38.23,40.57,I'm not that sort of girl
49.97,52.74,It was just the same as the last time
54.14,56.46,And the time before and the time before
57.69,61.38,It was just the same as the last time
61.89,64.49,And the time before and the time before
69.11,71.69,What you gonna that for
73.26,75.86,I thought I told you not to
76.89,79.63,Now I'm gonna have to clean  my teeth
81.00,83.57,I'm not that sort of girl
90.20,91.43,Sort of girl
98.20,99.66,Sort of girl
106.20,107.66,Sort of girl
114.26,115.57,Sort of girl
120.17,122.91,What you gonna do that for
124.08,125.84,I though I told you not to
125.84,128.52,Oh come on that's not fair I trusted you
128.20,130.31,Now I'm gonna have to clean my teeth
132.23,134.40,I'm not that sort of girl
134.43,136.31,Oh that's so gross
136.31,138.60,It was just the same as the last time (What you gonna do that for)
138.77,142.60,I thought I told you not to (And the time before and the time before)
142.77,144.03,That's horrible
144.14,146.50,Now I'm gonna have to clean my teeth (It was just the same as the last time)
146.50,148.00,I feel sick now
148.00,152.00,It was just the same as the last time ( I'm not that sort of girl)
152.00,154.51,It was just the same as the last time
156.06,158.51,It was just the same as the last time
162.23,164.66,Just the same as the last time
166.14,168.43,And the time before and the time before
170.06,172.49,It was just the same as the last time
173.94,176.77,And the time before and the time before
