start,end,text
28.22,34.27,"Just about 10 p.m. again, starting the show"
35.05,40.73,I put in the blinds and the game is ready to go
41.54,48.05,"American airlines, they saw me right through"
48.37,54.37,"When I get 'em I'm gonna check, raise back to you"
55.37,57.38,Shuffle 'em up
58.54,61.95,Deal 'em on down
61.95,67.90,"I'm grinding it out tonight, I'm standing my ground"
84.02,90.27,"And on the next hand, bullet rears it's head"
90.67,97.00,I'm folding cowboys but one marked on me and I'm dead
97.38,101.10,A couple rounds later
101.10,103.79,We got the same pair
104.00,110.02,What's your kicker boy let's compare
111.22,113.03,Shuffle 'em up
114.37,117.70,Deal 'em on down
117.70,123.59,"I'm grinding it out tonight, I'm standing my ground"
130.00,136.00,I'm right about to win
136.78,141.03,The flop gives me the wheel
143.74,148.87,I'm holding both the high and the low
149.75,158.35,This pot big slick ain't gonna steal
186.00,190.00,Shuffle 'em up
190.00,193.70,Deal 'em on down
193.73,199.62,"I'm grinding it out tonight, I'm standing my ground"
202.17,205.15,Listen up son
205.78,208.69,I'm going all in
208.82,214.88,Cause I got the nuts there ain't no chance in hell you'll win
