start,end,text
1.07,2.26,We kick it dirty
3.90,5.93,There's party over here (Party over there)
7.57,9.68,I got some news in the mail today
9.68,12.46,Real aces in the game heard my name and couldn't pronounce it
12.46,14.14,So I'ma sit tight and stop rapping
14.18,16.33,Get a suit and a tie or they'll get me a muzzle
16.32,18.17,"I sound so pissed, it got 'em puzzled"
18.19,22.07,"Why I'd be so serious and talk about issues it's too ambitious, they don't wanna hear it son (Son)"
22.07,26.01,"Frat boys and rich kids just wanna have fun and a shot at some bitches, nobody flinches"
26.00,32.00,"I roll up the boulder drop it on the spiritual sons of Travolta, regardless ever since they heard this I keep it heartless"
32.00,37.43,"Ah my name is elvis, I thrust my pelvis first I gotta dealt with the audience in memphis"
37.44,39.99,And from the prom kids to the housewives in their kitchens
40.02,42.04,They're gonna love it if I sing with bitches so
41.88,45.90,"Sing with me my bitch (My bitch, my bitch)"
45.90,50.15,"Sing with me my bitch (My bitch, my bitch)"
50.15,54.00,"Sing with me my bitch (My bitch, my bitch)"
54.00,57.81,Sing with me (My bitch my)
57.83,60.26,"<nl> (Woop, woop) </nl> I got some news in the mail today"
60.26,63.20,I got nominated most talented from over the Atlantic
63.20,68.95,"So they're gonna fly me over to New York City but there were talks of me playing in LA, I've never been there it's a shame"
68.98,72.18,"I gotta meet Doctor Dre, star in a little movie with Halle Berry"
72.18,75.62,And my funny accent for relaxing piece of entertainment
75.62,80.00,"They love it in the clubs since it came in, all this though I never was into the gaming"
80.00,83.15,I was crowned king of double meaning cranky and with a stubble
83.15,89.98,"My brain steaming, my name's not steven you can call me sensei ponte al frente te toca la suerte (Lights on the gente)"
89.20,92.63,And then pitch black I switch back to a faded bitch slap
92.48,96.51,Sing with me my bitch (My bitch my bitch)
96.51,100.63,Sing with me my bitch (My bitch my bitch)
100.75,104.80,Sing with me my bitch (My bitch my bitch my bitch my bitch)
104.89,108.34,"Sing with me my bitch (My bitch, my)"
108.24,110.85,"<nl> (Woop, woop) </nl> I got some news in the mail today"
110.85,115.28,They say I gotta sound like I ain't saying his name he never said my name and I don't mind mate
115.29,119.38,I'm equally as sick but just more inhibited wasn't born in the land of the brave
119.38,123.17,"With the blood  stains and cupcakes and third dates when you get to third base, <nl> um </nl>"
123.18,127.28,"I mean fornicate and demonstrate your textbook sex look, oh yeah"
127.28,130.86,"You can fuck but you can't say it, you gotta suck to get to be famous"
130.86,135.53,"And thank god and my penis, I got peanuts for all tracks masterpieces and no subpoenas"
135.52,139.22,"By the mail just a quick reminder, my shit ain't leaving the basement"
139.23,143.15,I tried to keep away from the ditches but they said I gotta sing with bitches so
142.80,146.93,Sing with me my bitch (My bitch my bitch)
147.00,151.00,Sing with me my bitch (My bitch my bitch)
151.00,155.00,Sing with me my bitch (My bitch my bitch)
155.00,159.00,Sing with me my bitch (My bitch my)
159.00,163.86,"<nl> (Woop, woop) </nl> and something's burning in the toaster, serving cat food in a glass on a coaster"
163.86,168.48,"Tipping Michael Jackson with a Barbie, now this is the story of how I wrecks the party"
168.23,174.16,"Thanks to the jury for the award I never would hope for more, thanks Ron for the cigar all those years of hard work for the people"
174.19,178.93,"It was worth all the trouble, the one dollar and the open bar and what with having my socks balled"
178.94,185.39,"Now I'm top dog all up in your rock bottom, the big pond crush it in my palms with the very important fishes and all the fly bitches"
185.39,189.42,"They told me the business was sedated, they don't use words that are complicated"
189.45,193.50,I got a deal to keep  their heads banging you know the drill sing it sing it
193.50,197.47,Sing with me my bitch (My bitch my bitch)
197.47,201.81,Sing with me my bitch (My bitch my bitch)
201.81,205.94,Sing with me my bitch (My bitch my bitch)
206.05,209.43,Sing with me my bitch (My bitch my)
209.40,215.43,"<nl> (Woop, woop) </nl> side effects y'all instigate terror in the land of the laymen, from k-pax to cayman (My bitch, my bitch)"
216.05,218.55,"Serving caviar to cavemen (My bitch, my bitch)"
218.55,222.53,"Sing with me my bitch (My bitch, my bitch)"
219.13,224.15,"Don't stop don't back down, till the fox gone or there's a blackout"
225.88,229.65,"<nl> (Woop, woop) </nl>  sing with me my bitch (My bitch)"
230.56,231.44,Sing it
