start,end,text
40.55,44.53,What I need is a mental break
44.53,48.20,I'm so drained need to escape
48.20,52.42,Tonight I'm gonna get all dressed up
52.42,56.11,Tonight I'm gonna party till I drop
80.00,84.07,Sex drugs rock n' roll
84.07,88.07,Let's break the rules let's break the mold
88.07,91.93,Sex drugs rock n' roll
91.93,96.20,Let's break the rules let's break the mold
96.20,105.35,"Nothing matters now, nothing matters now"
105.35,108.11,Just let it go
129.49,133.58,Sex drugs rock n' roll
133.58,137.58,Let's break the rules let's break the mold
137.58,141.44,Sex drugs rock n' roll
141.44,145.58,Let's break the rules let's break the mold
145.20,155.20,"Nothing matters now, nothing matters now"
171.20,178.17,"Nothing, <nl> na-na </nl> nothing,  <nl> na-na </nl> nothing matters now"
178.16,186.20,"Nothing, <nl> na-na </nl> nothing,  <nl> na-na </nl> nothing matters now"
186.53,190.93,Sex drugs rock n' roll
190.93,194.93,Let's break the rules let's break the mold
194.93,198.84,Sex drugs rock n' roll
198.84,202.78,Let's break the rules let's break the mold
202.78,206.76,Sex drugs rock n' roll
206.76,210.73,Let's break the rules let's break the mold
210.73,214.69,Sex drugs rock n' roll
214.69,218.82,Let's break the rules let's break the mold
218.82,228.16,Nothing matters now nothing matters now
