start,end,text
16.75,35.23,(Not transcribed)
35.23,42.00,Rolling along the ice of faith
42.36,49.44,For continuous thoughts I can escape
50.09,58.00,I didn't know I had so much time to contemplate
58.00,64.13,Blessed with the days to rejuvenate
64.13,69.00,For I am the ocean
69.00,80.00,Rushing in and out I've got missions and missions that makes even god shout
80.00,83.32,For I am the moon
83.32,89.25,I belong in the sky
89.25,96.00,Tell me what life's worth if I'm not riding high
96.00,103.55,Finely pounding with pulses of love
103.95,111.51,"Honest to fear, demanding communication"
111.51,123.39,"Breathing his warm neck and caressing his short hair (Could this be love, and be love)"
120.00,125.53,Could this be love bob sings in my
125.53,130.13,For I am the ocean
130.13,135.00,Rushing in and out
135.00,141.33,I've got missions and missions that makes my god proud
141.33,144.77,For I am the moon
144.77,150.60,I belong up in the sky
150.60,154.64,Tell me what is a life's worth if I'm not
154.64,163.00,Riding high
163.17,170.60,Oh high
171.96,182.00,Could this be love he whispers in my ear woah-oh
182.00,196.00,"Oh, oh, rolling along the ice of faith"
196.72,203.48,For continuous thoughts I can't escape
203.48,210.00,I didn't know I had so much time to contemplate oh
211.87,217.65,Blessed with the days to rejuvenate
217.65,222.56,For I am the ocean
223.00,233.19,Rushing rushing in and out and I've got missions and missions that makes my god proud for
233.47,236.80,For I am the moon
236.92,243.32,"I belong up in the sky, ooh"
243.32,247.31,Tell me what life's worth if I'm not
247.31,265.77,"Riding high, oh yeah"
265.77,268.84,I've got to ride high baby
268.84,272.84,I've got to ride high honey
272.84,277.91,Ooh watch me flying
277.91,280.91,Gonna ride high ooh
281.00,290.00,Oh yeah (Riding)
293.33,297.16,Ooh
