start,end,text
16.73,19.35,Move in all directions
19.71,22.40,Don't try to stay still
24.72,27.66,Separate by silence
27.85,30.85,Made cold by the chill
33.02,35.28,We should be connected
35.28,37.20,We should be brand new
37.20,41.45,We should have the courage to say that I want you
41.45,43.48,We shouldn't be lonely we
43.48,45.59,We shouldn't have doubt
45.59,51.62,"We shouldn't be the ones to say that I want out, oh no"
66.59,70.21,I want to try to keep in touch
71.11,72.71,I'll write a letter
74.72,78.91,Or maybe I'll come and I'll see you
79.18,81.08,Would that be better
83.04,85.39,We should be connected
85.39,87.20,We should be brand new
87.20,91.51,We should have the courage to say that I want you
91.51,93.77,We shouldn't be lonely
93.77,95.66,We shouldn't have doubt
95.66,99.68,We shouldn't be the ones to say that I want out
99.68,103.81,And if you tell me that you're keeping secrets I'd understand
103.72,107.31,But I can help you if you want me to do
107.63,112.10,And if you wanna see the world but you're alone just come and get me
112.10,116.20,Because I want to see the world too
116.20,125.20,"<nl> Oh-oh, Oh-oh-oh </nl>"
139.44,141.81,We should be connected
141.81,143.65,We should be brand new
143.65,147.86,We should have the courage to say that I want you
147.86,149.92,We shouldn't be lonely
149.92,152.21,We shouldn't have doubt
152.21,157.92,"We shouldn't be the ones to say that I want out, oh no"
159.56,163.18,Oh no
